epoch,train_loss,val_acc,val_macro_f1,lr
1,1.244143,0.074414,0.058952,0.00004999
2,0.774987,0.116208,0.119525,0.00004995
3,0.649622,0.306830,0.296827,0.00004989
4,0.591256,0.345566,0.310450,0.00004980
5,0.598653,0.389399,0.350126,0.00004969
6,0.568526,0.415902,0.378228,0.00004956
7,0.533553,0.435270,0.402309,0.00004940
8,0.525951,0.447503,0.415458,0.00004921
9,0.532593,0.455657,0.423086,0.00004901
10,0.514021,0.468909,0.435260,0.00004878
11,0.474732,0.443425,0.417632,0.00004852
12,0.502869,0.478084,0.456455,0.00004824
13,0.487142,0.486239,0.474188,0.00004794
14,0.472167,0.507645,0.487772,0.00004762
15,0.474323,0.530071,0.507798,0.00004728
16,0.478567,0.513761,0.484357,0.00004691
17,0.438209,0.542304,0.529192,0.00004652
18,0.420816,0.547401,0.538608,0.00004611
19,0.440297,0.549439,0.527816,0.00004568
20,0.435785,0.568807,0.565194,0.00004523
21,0.406654,0.584098,0.581774,0.00004475
22,0.416566,0.588175,0.572898,0.00004426
23,0.410601,0.585117,0.571648,0.00004375
24,0.417484,0.582059,0.567173,0.00004322
25,0.405006,0.599388,0.598292,0.00004268
26,0.401440,0.553517,0.526911,0.00004211
27,0.400048,0.617737,0.623562,0.00004153
28,0.397641,0.608563,0.622427,0.00004094
29,0.410525,0.616718,0.624905,0.00004032
30,0.382237,0.613660,0.623154,0.00003969
31,0.407958,0.618756,0.618513,0.00003905
32,0.396512,0.639144,0.648594,0.00003840
33,0.422804,0.624873,0.637469,0.00003773
34,0.400637,0.626911,0.632098,0.00003704
35,0.371891,0.629969,0.638184,0.00003635
36,0.372219,0.621814,0.627869,0.00003564
37,0.388711,0.622834,0.634678,0.00003493
38,0.372290,0.625892,0.636192,0.00003420
39,0.390029,0.641182,0.654907,0.00003347
40,0.354951,0.649337,0.656488,0.00003273
41,0.356313,0.632008,0.646326,0.00003197
42,0.361000,0.627931,0.641060,0.00003122
43,0.378384,0.633028,0.648919,0.00003045
44,0.355481,0.626911,0.636184,0.00002968
45,0.346910,0.657492,0.659717,0.00002891
46,0.343951,0.629969,0.638423,0.00002813
47,0.375962,0.656473,0.663093,0.00002735
48,0.355559,0.656473,0.656608,0.00002657
49,0.347867,0.651376,0.656967,0.00002579
50,0.366748,0.646279,0.632076,0.00002500
51,0.345387,0.642202,0.644528,0.00002421
52,0.336550,0.649337,0.653595,0.00002343
53,0.347073,0.653415,0.655653,0.00002265
54,0.347874,0.657492,0.653411,0.00002187
55,0.357755,0.659531,0.666341,0.00002109
56,0.348483,0.657492,0.662275,0.00002032
57,0.333040,0.664628,0.671991,0.00001955
58,0.362572,0.665647,0.670817,0.00001878
59,0.377364,0.663609,0.673452,0.00001803
60,0.352779,0.664628,0.671240,0.00001727
61,0.332072,0.659531,0.661525,0.00001653
62,0.343609,0.658512,0.661814,0.00001580
63,0.347208,0.662589,0.662232,0.00001507
64,0.356053,0.666667,0.673929,0.00001436
65,0.369646,0.662589,0.666724,0.00001365
66,0.349400,0.664628,0.669247,0.00001296
67,0.328165,0.661570,0.669567,0.00001227
68,0.304260,0.664628,0.674779,0.00001160
69,0.334507,0.661570,0.660628,0.00001095
70,0.336312,0.669725,0.675918,0.00001031
71,0.308761,0.667686,0.674748,0.00000968
72,0.335571,0.669725,0.676375,0.00000906
73,0.356912,0.664628,0.672257,0.00000847
74,0.331066,0.670744,0.676585,0.00000789
75,0.340430,0.663609,0.671737,0.00000732
76,0.343212,0.667686,0.672359,0.00000678
77,0.338894,0.662589,0.667586,0.00000625
78,0.341285,0.664628,0.671021,0.00000574
79,0.335559,0.671764,0.677935,0.00000525
80,0.341507,0.667686,0.673691,0.00000477
81,0.336722,0.670744,0.678130,0.00000432
82,0.339121,0.665647,0.667011,0.00000389
83,0.339586,0.664628,0.668360,0.00000348
84,0.336243,0.665647,0.673574,0.00000309
85,0.343389,0.636086,0.630058,0.00000272
86,0.321851,0.665647,0.670056,0.00000238
87,0.344356,0.669725,0.671241,0.00000206
88,0.339322,0.669725,0.673288,0.00000176
89,0.384911,0.666667,0.670432,0.00000148
90,0.312384,0.669725,0.677209,0.00000122
91,0.341613,0.669725,0.678593,0.00000099
92,0.355151,0.664628,0.672855,0.00000079
93,0.316668,0.663609,0.663881,0.00000060
94,0.347693,0.668705,0.676169,0.00000044
95,0.341524,0.669725,0.675854,0.00000031
96,0.328547,0.668705,0.674792,0.00000020
97,0.342250,0.664628,0.666719,0.00000011
98,0.333011,0.671764,0.675562,0.00000005
99,0.339615,0.666667,0.668701,0.00000001
100,0.322091,0.668705,0.675532,0.00000000
