epoch,train_loss,val_acc,val_macro_f1,lr
1,1.616353,0.200815,0.110767,0.00004999
2,1.547495,0.047910,0.018288,0.00004995
3,1.272913,0.047910,0.018288,0.00004989
4,1.256308,0.047910,0.018288,0.00004980
5,1.227701,0.047910,0.018288,0.00004969
6,1.237950,0.047910,0.018288,0.00004956
7,1.204855,0.047910,0.018288,0.00004940
8,1.088561,0.047910,0.018288,0.00004921
9,1.080412,0.077472,0.055952,0.00004901
10,1.050891,0.085627,0.059679,0.00004878
11,1.082325,0.103976,0.073336,0.00004852
12,1.040933,0.119266,0.087827,0.00004824
13,1.056127,0.132518,0.102592,0.00004794
14,1.035281,0.136595,0.111884,0.00004762
15,1.012311,0.134557,0.109383,0.00004728
16,1.008861,0.136595,0.111349,0.00004691
17,0.984187,0.127421,0.097895,0.00004652
18,1.058369,0.137615,0.116158,0.00004611
19,0.992895,0.136595,0.110042,0.00004568
20,1.037654,0.135576,0.108661,0.00004523
21,0.982328,0.130479,0.101880,0.00004475
22,0.991387,0.133537,0.105711,0.00004426
23,0.971011,0.135576,0.111458,0.00004375
24,1.016242,0.131498,0.102528,0.00004322
25,0.939793,0.134557,0.109682,0.00004268
26,0.946348,0.135576,0.108851,0.00004211
27,0.934928,0.130479,0.101880,0.00004153
28,0.952916,0.134557,0.110220,0.00004094
29,0.949246,0.136595,0.112986,0.00004032
30,0.938230,0.135576,0.110646,0.00003969
31,0.934732,0.130479,0.102186,0.00003905
32,0.933299,0.130479,0.103296,0.00003840
33,0.976214,0.134557,0.108219,0.00003773
34,0.988753,0.134557,0.109704,0.00003704
35,0.950232,0.131498,0.105487,0.00003635
36,0.943108,0.139653,0.115142,0.00003564
37,0.949050,0.131498,0.104382,0.00003493
38,0.983005,0.141692,0.119160,0.00003420
39,0.961695,0.131498,0.104251,0.00003347
40,0.950741,0.131498,0.106413,0.00003273
41,0.913154,0.133537,0.105493,0.00003197
42,0.950116,0.130479,0.103087,0.00003122
43,0.946004,0.131498,0.103331,0.00003045
44,0.957927,0.133537,0.105711,0.00002968
45,0.946647,0.131498,0.104598,0.00002891
46,0.950784,0.133537,0.106834,0.00002813
47,0.913986,0.132518,0.106622,0.00002735
48,0.941502,0.134557,0.108949,0.00002657
49,0.919380,0.132518,0.105933,0.00002579
50,0.939167,0.131498,0.103955,0.00002500
51,0.949483,0.138634,0.113857,0.00002421
52,0.923994,0.136595,0.109344,0.00002343
53,0.910737,0.131498,0.104167,0.00002265
54,0.892275,0.137615,0.111255,0.00002187
55,0.883556,0.133537,0.107066,0.00002109
56,0.909984,0.138634,0.115887,0.00002032
57,0.892790,0.136595,0.110079,0.00001955
58,0.913489,0.133537,0.106605,0.00001878
59,0.878435,0.138634,0.113579,0.00001803
60,0.931150,0.140673,0.117668,0.00001727
61,0.874071,0.134557,0.108949,0.00001653
62,0.910745,0.140673,0.119265,0.00001580
63,0.898390,0.132518,0.105339,0.00001507
64,0.951713,0.133537,0.108262,0.00001436
65,0.893312,0.138634,0.114137,0.00001365
66,0.898322,0.139653,0.116622,0.00001296
67,0.914172,0.136595,0.111097,0.00001227
68,0.899757,0.135576,0.109890,0.00001160
69,0.905652,0.137615,0.114469,0.00001095
70,0.884754,0.137615,0.115572,0.00001031
71,0.893713,0.136595,0.116002,0.00000968
72,0.892356,0.136595,0.116002,0.00000906
73,0.935003,0.135576,0.116992,0.00000847
74,0.902627,0.136595,0.115428,0.00000789
75,0.906806,0.136595,0.116954,0.00000732
76,0.891258,0.136595,0.118047,0.00000678
77,0.893878,0.135576,0.115429,0.00000625
78,0.927272,0.135576,0.117659,0.00000574
79,0.889383,0.137615,0.122277,0.00000525
80,0.911912,0.136595,0.119208,0.00000477
81,0.883140,0.138634,0.125825,0.00000432
82,0.858907,0.138634,0.125152,0.00000389
83,0.904091,0.137615,0.122584,0.00000348
84,0.888315,0.139653,0.125199,0.00000309
85,0.888672,0.138634,0.124574,0.00000272
86,0.914775,0.137615,0.123385,0.00000238
87,0.892000,0.138634,0.125654,0.00000206
88,0.868492,0.139653,0.126599,0.00000176
89,0.921531,0.139653,0.127819,0.00000148
90,0.877484,0.138634,0.125935,0.00000122
91,0.905681,0.138634,0.125116,0.00000099
92,0.875304,0.140673,0.127774,0.00000079
93,0.906726,0.140673,0.127774,0.00000060
94,0.878579,0.139653,0.127342,0.00000044
95,0.887249,0.139653,0.127342,0.00000031
96,0.886268,0.139653,0.127064,0.00000020
97,0.887471,0.138634,0.126589,0.00000011
98,0.880190,0.138634,0.126569,0.00000005
99,0.903390,0.138634,0.126589,0.00000001
100,0.885970,0.138634,0.126569,0.00000000
